,visiting team,home team,venue,date,game start,attendance,seating capacity,weekday
52,Ottawa,New York,Total Mortgage Arena,"Mar 20, 2024",7:08 PM EST,1702,8412,Wednesday
53,Boston,Toronto,Mattamy Athletic Centre,"Mar 20, 2024",7:08 PM EST,2525,2600,Wednesday
54,Toronto,Ottawa,TD Place,"Mar 23, 2024",1:09 PM EST,8448,9862,Saturday
55,Montreal,Minnesota,Xcel Energy Center,"Mar 24, 2024",3:08 PM CST,7268,18300,Sunday
56,Boston,New York,UBS Arena,"Mar 25, 2024",7:08 PM EST,2834,17225,Monday
57,Minnesota,Montreal,Verdun Auditorium,"Apr 18, 2024",7:08 PM EST,3084,4043,Thursday
58,Toronto,Boston,Tsongas Center,"Apr 18, 2024",7:08 PM EST,4084,6500,Thursday
59,Toronto,Montreal,Bell Centre,"Apr 20, 2024",1:11 PM EST,21105,21273,Saturday
60,Boston,New York,Prudential Center,"Apr 20, 2024",3:40 PM EST,5132,16514,Saturday
61,Minnesota,Ottawa,TD Place,"Apr 20, 2024",7:06 PM EST,8110,9862,Saturday
62,Boston,Ottawa,TD Place,"Apr 24, 2024",7:08 PM EST,7686,9862,Wednesday
63,New York,Montreal,Verdun Auditorium,"Apr 24, 2024",7:09 PM EST,3232,4043,Wednesday
64,Montreal,Ottawa,TD Place,"Apr 27, 2024",12:36 PM EST,8452,9862,Saturday
65,Boston,Minnesota,Xcel Energy Center,"Apr 27, 2024",1:08 PM CST,9977,18300,Saturday
66,Toronto,New York,UBS Arena,"Apr 28, 2024",1:08 PM EST,1668,17225,Sunday
67,Ottawa,New York,Prudential Center,"Apr 30, 2024",7:10 PM EST,2992,16514,Tuesday
68,Minnesota,Toronto,Mattamy Athletic Centre,"May 1, 2024",7:09 PM EST,2571,2600,Wednesday
69,Minnesota,New York,UBS Arena,"May 4, 2024",1:08 PM EST,1563,17225,Saturday
70,Montreal,Boston,Tsongas Center,"May 4, 2024",3:38 PM EST,5964,6500,Saturday
71,Ottawa,Toronto,Mattamy Athletic Centre,"May 5, 2024",7:07 PM EST,2620,2600,Sunday
81,Minnesota,Toronto,Coca-Cola Coliseum,"May 8, 2024",7:08 PM EST,8473,7851,Wednesday
82,Boston,Montreal,Place Bell,"May 9, 2024",7:09 PM EST,9135,10062,Thursday
83,Minnesota,Toronto,Coca-Cola Coliseum,"May 10, 2024",7:08 PM EST,8581,7851,Friday
84,Boston,Montreal,Place Bell,"May 11, 2024",7:09 PM EST,10172,10062,Saturday
85,Toronto,Minnesota,Xcel Energy Center,"May 13, 2024",7:08 PM EST,3344,18300,Monday
86,Montreal,Boston,Tsongas Center,"May 14, 2024",7:09 PM EST,2781,6500,Tuesday
87,Toronto,Minnesota,Xcel Energy Center,"May 15, 2024",7:08 PM EST,2766,18300,Wednesday
88,Minnesota,Toronto,Coca-Cola Coliseum,"May 17, 2024",7:09 PM EST,8501,7851,Friday
89,Minnesota,Boston,Tsongas Center,"May 19, 2024",5:14 PM EST,4508,6500,Sunday
90,Minnesota,Boston,Tsongas Center,"May 21, 2024",7:14 PM EST,4543,6500,Tuesday
91,Boston,Minnesota,Xcel Energy Center,"May 24, 2024",6:15 PM CST,9054,18300,Friday
92,Boston,Minnesota,Xcel Energy Center,"May 26, 2024",5:15 PM CST,13104,18300,Sunday
93,Minnesota,Boston,Tsongas Center,"May 29, 2024",7:15 PM EST,6309,6500,Wednesday
100,Boston,Toronto,Coca-Cola Coliseum,"Nov 30, 2024",2:15 PM EST,8089,7851,Saturday
101,Ottawa,Montréal,Place Bell,"Nov 30, 2024",5:18 PM EST,10033,10062,Saturday
102,New York,Minnesota,Xcel Energy Center,"Dec 1, 2024",5:16 PM CST,8022,18300,Sunday
103,Toronto,Ottawa,TD Place,"Dec 3, 2024",7:15 PM EST,6451,9862,Tuesday
104,Minnesota,Boston,Tsongas Center,"Dec 4, 2024",7:16 PM EST,3811,6500,Wednesday
105,New York,Montréal,Place Bell,"Dec 4, 2024",7:10 PM EST,5415,10062,Wednesday
106,Montréal,Ottawa,Canadian Tire Centre,"Dec 6, 2024",7:07 PM EST,11065,19153,Friday
107,Minnesota,Toronto,Coca-Cola Coliseum,"Dec 7, 2024",2:12 PM EST,7584,7851,Saturday
108,New York,Boston,Tsongas Center,"Dec 8, 2024",4:07 PM EST,4003,6500,Sunday
109,Ottawa,Boston,Tsongas Center,"Dec 17, 2024",7:07 PM EST,2854,6500,Tuesday
110,Toronto,New York,Prudential Center,"Dec 18, 2024",7:13 PM EST,2851,16514,Wednesday
111,Ottawa,Minnesota,Xcel Energy Center,"Dec 19, 2024",7:07 PM CST,4686,18300,Thursday
112,Montréal,Toronto,Coca-Cola Coliseum,"Dec 21, 2024",2:12 PM EST,8251,7851,Saturday
